	mzmed
863	469.284005151111
864	469.389056617241
865	470.18551890289496
866	470.178381514225
867	470.197389971728
868	470.196962215057
869	471.10583670310797
870	471.19130367126803
871	471.199969001914
872	471.22211864193605
873	471.3473093293401
874	472.10854017753303
875	472.131776413684
876	472.19413193703105
877	472.22324583058196
878	473.10353208660894
879	473.15401764142194
880	473.220262559087
881	473.28201261308897
882	473.36300477931394
883	473.399403865941
884	474.285327128694
885	474.402796452612
886	475.23586568633203
887	475.301136002494
888	475.378607594409
889	475.379554923246
890	475.405764437556
891	476.304603356511
892	477.307341033479
893	477.358121836576
894	478.20160465930803
895	478.194346506025
896	478.36161968147695
897	479.303900837108
898	479.373731286391
899	480.183262744153
900	480.20985440617204
901	480.37714112365995
902	481.11113043134804
903	481.186020816548
904	481.17902833986705
905	481.210609309826
906	481.37983894578696
907	482.186855469505
908	482.198956762119
909	482.312732579161
910	483.146581745885
911	483.225640298534
912	484.21394289920096
913	485.14485461123
914	485.16293305505997
915	486.880356771039
916	487.161318076722
917	487.22614063801694
918	487.297819148262
919	487.37748697993
920	488.229653792886
921	488.350333145355
922	489.31685251580905
923	489.37548653090795
924	490.320228103713
925	491.176886082772
926	491.228014469673
927	491.275078532927
928	491.337636104573
929	492.28855329386903
930	492.34126926067495
931	492.366244015917
932	493.262814124108
933	493.389469886096
934	494.19802379451204
935	494.392872336954
936	495.369084354075
937	496.176503523119
938	496.21370078195605
939	496.372798677203
940	497.31542885287
941	498.228835855392
942	499.116515387149
943	499.139554092862
944	499.15255697377404
945	499.188371352751
946	499.22640528742005
947	499.28376605789396
948	499.30389519199304
949	499.377613455762
950	500.11961426465996
951	500.191372513881
952	500.379440330058
953	501.114768305337
954	501.13983725574303
955	501.13219615032403
956	501.204121418313
957	501.316339659793
958	501.375715928972
959	501.39303705742105
960	502.395014744263
961	503.13045318259003
962	503.332613144416
963	503.39144270059097
964	504.218380517862
965	504.33605491743
966	504.394543884341
967	505.228456195296
968	505.338476903709
969	506.23335593814903
970	507.193148985085
971	507.22450903855
972	507.368868423334
973	508.195197824676
974	508.372327927185
975	509.205558246156
976	509.240344252652
977	509.38388483799696
978	509.37595671440005
979	510.20900833225
980	511.47324477653297
981	512.476679332155
982	513.155811969388
983	513.242027206247
984	513.479796695999
985	514.245388640056
986	514.893029845979
987	515.159937587557
988	515.257643774868
989	515.391437966573
990	516.2610873411239
991	516.3945989441851
992	517.263807092024
993	517.4814960016901
994	518.484853874314
995	519.148989509954
996	519.149707966745
997	519.192004427348
998	519.251512147433
999	519.306539317874
1000	519.405213479648
1001	520.31976536157
1002	520.408122769107
1003	520.910123873333
1004	520.909754980456
1005	521.207921202834
1006	521.29525897588
1007	521.348605196118
1008	521.913535773754
1009	522.297615639334
1010	522.914554583108
1011	524.887341746094
1012	525.166899310487
1013	526.170456323136
1014	527.182812098144
1015	527.315000521853
1016	527.407776224111
1017	527.4466467948471
1018	527.527022660686
1019	528.450035032636
1020	529.215798618586
1021	529.273227365125
1022	529.280494042139
1023	529.366444346847
1024	529.423576538121
1025	529.461689651757
1026	530.283886188128
1027	530.426953604147
1028	530.465507726384
1029	530.8657175291539
1030	531.127463964647
1031	531.164243403376
1032	531.214232764448
1033	531.231467448918
1034	531.286671962643
1035	531.468756001306
1036	532.24025053819
1037	532.8730807105529
1038	533.17224528985
1039	533.230815660722
1040	533.2600488243789
1041	533.38326824816
1042	533.455313769062
1043	534.458729786006
1044	534.9259076377749
1045	535.16576627216
1046	535.466292616487
1047	536.168827716308
1048	536.395445848743
1049	536.473139179649
1050	536.884037236135
1051	537.163157847099
1052	537.181572040151
1053	537.271805948072
1054	538.1847785857921
1055	538.276000795911
1056	539.179135973803
1057	540.181936971128
1058	541.1422824365291
1059	541.48165555739
1060	543.289011094968
1061	544.292452005193
1062	545.295050464606
1063	545.383302102848
1064	546.270708898017
1065	547.398927048189
1066	547.473682599064
1067	548.432266640896
1068	548.505493616837
1069	549.166908163679
1070	549.3257373996599
1071	549.4298266196421
1072	549.508847990136
1073	550.261885462819
1074	550.433000190038
1075	550.512190422421
1076	551.136752378528
1077	551.431544693412
1078	551.504904218104
1079	552.277434677795
1080	553.134953178497
1081	553.153372854889
1082	553.870961044403
1083	554.873060781514
1084	554.869819876302
1085	555.151876774343
1086	555.213991427918
1087	555.31125105024
1088	555.346653874897
1089	555.390634488122
1090	555.4392138332
1091	555.480998508343
1092	555.870237805376
1093	556.442584760513
1094	556.8722418943499
1095	557.304753816296
1096	557.455514024989
1097	557.8671891125599
1098	558.308233299863
1099	558.458946415611
1100	558.869070960025
1101	559.263173391748
1102	559.399083173544
1103	559.474114989076
1104	559.864125379132
1105	560.270955689525
1106	560.477588921741
1107	561.2036177777929
1108	561.250903968655
1109	561.291526095897
1110	561.43793386005
1111	561.481123802282
1112	562.484555413281
1113	563.488345707506
1114	563.5054904023619
1115	564.344435460904
1116	564.3447521516661
1117	564.481853569459
1118	564.508961861506
1119	565.303187103984
1120	565.347649595523
1121	565.34776640863
1122	565.482407890335
1123	565.512232498372
1124	565.5200865947451
1125	566.350765898985
1126	566.485765283869
1127	566.515293177994
1128	566.523652540131
1129	567.104733045202
1130	567.17534460925
1131	567.214301104273
1132	567.271549823818
1133	567.489572122231
1134	567.517739319645
1135	567.5361619523529
1136	568.172129087242
1137	568.512815170187
1138	568.539605881877
1139	569.1032618149379
1140	569.120784002719
1141	569.305147741263
1142	569.45571567501
1143	569.513793157685
1144	569.542774737584
1145	570.459104607766
1146	570.517357151458
1147	570.545667539702
1148	571.11907559358
1149	571.3204889982791
1150	571.343230622585
1151	571.471270269878
1152	571.497414591729
1153	571.5207876897709
1154	572.323910872449
1155	572.346784806694
1156	572.4328833549009
1157	572.500588221225
1158	573.2170720993071
1159	573.326579071613
1160	573.39603107676
1161	573.486978937839
1162	573.49575406342
1163	573.508888979226
1164	573.5444147026731
1165	574.399247536491
1166	574.448646623149
1167	574.490306859297
1168	574.497298199395
1169	574.5477632585221
1170	575.394458538476
1171	576.393774799609
1172	576.463672447941
1173	577.228118732009
1174	577.423787861879
1175	577.4667755554419
1176	579.4384917225531
1177	579.4486139966381
1178	580.339179399179
1179	580.451322725545
1180	581.193126649251
1181	581.2297271878799
1182	581.400141616986
1183	581.456134337991
1184	581.526230438752
1185	581.566043667837
1186	582.233298227267
1187	582.4595875157551
1188	582.510351654059
1189	582.529417626094
1190	582.569489710556
1191	582.880702776269
1192	583.245453399191
1193	583.415882907075
1194	583.463526398456
1195	583.471490704267
1196	584.248925830889
1197	584.419391259768
1198	584.526110004022
1199	584.5931100632511
1200	585.4875249191381
1201	585.529296627334
1202	585.596655485252
1203	586.473323465284
1204	586.490984696406
1205	586.60007754481
1206	587.137296855238
1207	587.2945001016369
1208	587.494311688016
1209	587.501946790146
1210	588.302679248508
1211	588.497583928049
1212	588.505747660669
1213	588.897988312705
1214	588.897529722428
1215	589.282271809878
1216	589.450848751187
1217	589.483165149995
1218	589.500656295582
1219	589.518186934906
1220	589.901391493099
1221	590.521645678739
1222	590.902359171287
1223	591.414303330057
1224	591.4986708911811
1225	591.524888376819
1226	592.458288869732
1227	592.527846476282
1228	592.874948702624
1229	593.154777279623
