,adduct,lm_id
149,M+H,LMFA01030303
149,M+H,LMFA01030302
149,M+H,LMFA01030319
149,M+H,LMFA01030320
149,M+H,LMFA01030331
149,M+H,LMFA01030330
149,M+H,LMFA01030329
149,M+H,LMFA01030328
149,M+H,LMFA01030297
149,M+H,LMFA01030298
149,M+H,LMFA01030309
149,M+H,LMFA01030327
149,M+H,LMFA01030299
149,M+H,LMFA01030301
149,M+H,LMFA01030326
149,M+H,LMFA01030325
149,M+H,LMFA01030324
149,M+H,LMFA01030323
149,M+H,LMFA01030322
149,M+H,LMFA01030321
149,M+H,LMFA01030300
150,M+H,LMFA01140017
150,M+H,LMFA01030126
150,M+H,LMFA01030119
150,M+H,LMFA01030125
150,M+H,LMFA01030122
150,M+H,LMFA01030123
150,M+H,LMFA01140002
150,M+H,LMFA01030124
150,M+H,LMFA01030120
150,M+H,LMFA01030127
150,M+H,LMFA01030121
150,M+H,LMFA07010564
150,M+H,LMFA07010620
150,M+H,LMFA07010377
150,M+H,LMFA07010376
150,M+H,LMFA07010375
150,M+H,LMFA07010374
150,M+H,LMFA07010373
150,M+H,LMFA07010372
150,M+H,LMFA07010371
150,M+H,LMFA07010369
150,M+H,LMFA01030774
150,M+H,LMFA01030812
150,M+H,LMFA01030914
